Source,Target,Specialisation,Surname
Prof Estelle A.M. Sheehan,School of English,17th and 18th Century Literature; the classical tradition in English Literature,Sheehan
Prof Sally Shortall,"School of Sociology, Social Policy and Social Work",Sociology,Shortall
Dr Ian Shuttleworth,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Shuttleworth
Dr Ros Silvester,School of Modern Languages,French Studies (Postgraduate Co-ordinator - Sem 1),Silvester
Prof Paul Simpson,School of English,English Language,Simpson
Prof Jan Smaczny,Music and Sonic Arts,,Smaczny
Dr Ron Smith,School of Education,,Smith
Dr Lisa Smyth,"School of Sociology, Social Policy and Social Work",Sociology,Smyth
Dr Dion Smythe,School of History and Anthropology,"Byzantine History,Medieval History",Smythe
Dr Paulo Sousa ,School of History and Anthropology,"Anthropology,Cognition and Culture",Sousa
Dr John Stannard,School of Law,"Law and Emotion, Criminal Justice",Stannard
Dr Anthony Stanonis,School of History and Anthropology,"American History,Cultural History",Stanonis
Dr Paul Stapleton ,Music and Sonic Arts,Performance/Interaction Design ,Stapleton
Dr Sinead Sturgeon,School of English,Irish Literature,Sturgeon
Dr Tristan Sturm,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Sturm
Dr Caroline Sumpter,School of English,Victorian Literature,Sumpter
Dr Sirin Sung,"School of Sociology, Social Policy and Social Work",Social Policy,Sung
Dr Maruska Svasek,School of History and Anthropology,Anthropology,Svasek
Dr Kurt Taroff ,Drama,Drama,Taroff
Dr Maria Tavares ,School of Modern Languages,Spanish & Portuguese Studies,Tavares
Prof John Thompson,School of English,Later Medieval Literature,Thompson
Dr Aidan Thomson ,Music and Sonic Arts,,Thomson
Dr Andrew Thomson,"School of Politics, International Studies and Philosophy",,Thomson
Prof Allen Thurston,School of Education,,Thurston
Dr Alexander Titov,School of History and Anthropology,European History (post-1500),Titov
Prof Yo Tomita,Music and Sonic Arts,Musicology,Tomita
Prof Mike Tomlinson,"School of Sociology, Social Policy and Social Work",Social Policy,Tomlinson
Prof Greg Toner,School of Modern Languages,Irish (Head of Area),Toner
Prof Margaret Topping,School of Modern Languages,French Studies (Dean of the Graduate School),Topping
Prof Isabel Torres,School of Modern Languages,Spanish & Portuguese Studies (Head of Area - Sem 2) ,Torres
Dr Anna Tristram,School of Modern Languages,French Studies,Tristram
Dr Ioannis Tsioulakis,School of History and Anthropology,"Anthropology,Ethnomusicology",Tsioulakis
Dr Katy Turton,School of History and Anthropology,"European History (post-1500),Gender History",Turton
Dr Malte Urban,School of English,Later Medieval Literature,Urban
Dr Juliana Licinic vanWalstijn,Music and Sonic Arts,,vanWalstijn
Prof Graham Walker,"School of Politics, International Studies and Philosophy",,Walker
Dr Tom Walker ,"School of Politics, International Studies and Philosophy",,Walker
Dr Paddy Walsh,School of Education,,Walsh
Dr Maarten van Walstijn ,Music and Sonic Arts,,Walstijn
Dr Patricia Warke,"School of Geography, Archaeology and Paleoecology",Environmental Change,Warke
Dr Immo Warntjes,School of History and Anthropology,"Irish Studies / Irish History,Science and Medicine, History of,Religious History,Medieval History",Warntjes
Dr Simon Waters ,Music and Sonic Arts,,Waters
Dr Jeremy Watkins,"School of Politics, International Studies and Philosophy",,Watkins
Dr Sarah Eardley-Weaver ,School of Modern Languages,Translation and Interpreting,Weaver
Dr Joseph Webster,School of History and Anthropology,Anthropology,Webster
Dr Todd Weir,School of History and Anthropology,"European History (post-1500),Religious History",Weir
Prof Sally Wheeler,School of Law,,Wheeler
Prof Christopher Whelan,"School of Sociology, Social Policy and Social Work",Sociology,Whelan
Dr Steven Wilson,School of Modern Languages,French Studies,Wilson
Dr George Wilson,"School of Sociology, Social Policy and Social Work",Social Work,Wilson
Dr Brenda Winter,Drama,Drama,Winter
Dr Karen Winter,"School of Sociology, Social Policy and Social Work",Social Work,Winter
Dr Matthew Wood,"School of Sociology, Social Policy and Social Work",Sociology,Wood
Prof Ian Woodfield ,Music and Sonic Arts,Musicology,Woodfield
Dr Ramona Wray,School of English,Renaissance Literature and Women's Writing,Wray
Dr Justin Yang ,Music and Sonic Arts,Composition ,Yang
Dr Aglaia De Angeli,Digital Scholarly Innovation Tools,,
Dr Aglaia De Angeli,Put Your Data on the Map,,
Dr Aglaia De Angeli,Palladio versus Exhibit,,
Dr Dominique Jeannerod,Put Your Data on the Map,,
Dr Fiona Clark,Palladio versus Exhibit,,
Dr Fiona Clark,Digital Scholarly Innovation Tools,,
Dr Ida Milne,Digital Scholarly Innovation Tools,,
Dr Ida Milne,Google Tools for Digital Scholarship,,
Dr Ida Milne,Google Tools for Digital Scholarship,,
Dr Ida Milne,Palladio versus Exhibit,,
Dr Ida Milne,Palladio versus Exhibit,,
Dr Ida Milne,Requirements Engineering for Humanities Scholarship,,
Dr Ida Milne,Put Your Data on the Map,,
Dr Manu Braganca,Digital Humanities Ecosystem,,
Prof Margaret Topping,Requirements Engineering for Humanities Scholarship,,
Prof Margaret Topping,Digital Narratives,,
Prof Margaret Topping,Digital Humanities Ecosystem,,
Dr Martin Dowling ,Digital Scholarly Innovation Tools,,
Dr Olwen Purdue,Digital Scholarly Innovation Tools,,
Dr Olwen Purdue,Data Visualisation for the Humanities,,
Dr Paul Murphy ,Digital Humanities Ecosystem,,
Dr Paul Murphy ,Digital Scholarly Innovation Tools,,
Dr Paul Murphy ,Google Tools for Digital Scholarship,,
Dr Paul Murphy ,Palladio versus Exhibit,,
Prof Robert Miller,Digital Narratives,,
Dr Sarah McCleave ,Digital Scholarly Innovation Tools,,
Dr Sarah McCleave ,Requirements Engineering for Humanities Scholarship,,
Dr Sarah McCleave ,Data Visualisation for the Humanities,,
Dr Stefano Baschiera,Digital Scholarly Innovation Tools,,
Dr Stefano Baschiera,Data Visualisation for the Humanities,,
Dr Stefano Baschiera,Digital Narratives,,
Dr Stefano Baschiera,Requirements Engineering for Humanities Scholarship,,
Dr Tori Holmes,Data Visualisation for the Humanities,,
